CpuId,"CpuName",AC97Technology,ActiveManagementTech,AdaptiveBoostTechVesion,AdaptixTechVersion,AdditionalInfoUrl,AdvancedMatricExtensions,AESTech,AMTVersion,AntiTheftTechnology,AssuredFreqMax,AssuredFreqMin,AssuredPowerMax,AssuredPowerMin,AVX512FusedMultiplyAddUnits,BasebandFunctions,BornOnDate,BracketHeight,BurstFrequency,Bus,BusNumPorts,Cache,CertifiedUseConditions,ChipsetPCHPCIeRevision,ClearVideoTechnology,ClockSpeed,ClockSpeedMax,CodeNameText,ConfigTDPMax,ConfigTDPMaxFrequency,ConfigTDPMin,ConfigTDPMinFrequency,CoreCount,CoreVoltage,CVTHD,DataStreamAccelerator,DeepLearningBoostVersion,DemandBasedSwitching,DeviceProtectionTechBootGuardVersion,DieSize,DigitalThermalSensorTemperatureMax,DiscreteGraphics4KSupportLevel,DiscreteGraphicsComputeUnitCount,DiscreteGraphicsDedicatedMemoryBandwidth,DiscreteGraphicsDedicatedMemoryInterface,DiscreteGraphicsDirectXSupport,DiscreteGraphicsFreqMhz,DiscreteGraphicsH264Hardware,DiscreteGraphicsH265HardwareDesc,DiscreteGraphicsMaxFreqMhz,DiscreteGraphicsMaxResolutionDP,DiscreteGraphicsMaxResolutionHDMI,DiscreteGraphicsMaxResolutionIFP,DiscreteGraphicsModelId,DiscreteGraphicsOpenGLSupport,DiscreteGraphicsOutputOptions,DiscreteGraphicsVulkanSupport,DiscreteNumDisplaysSupported,DMIRevision,DynamicLoadBalancer,ECCMemory,ECoreBaseFreq,ECoreTurboFreq,EffCoreCount,EM64,Embedded,EmbeddedDramMB,EOISDate,ESUDate,ExecuteDisable,ExpectedDiscontinuanceDate,ExtendedPageTables,FastMemoryTechnology,FDI,FlexMemoryTechnology,FSBParity,FSBsSupported,FunctionalSafety,GaussianNeuralAcceleratorVersion,GeneralPurposeIO,Graphics4KSupportLevel,GraphicsBurstFrequency,GraphicsDeviceId,GraphicsDirectXSupport,GraphicsExecutionUnits,GraphicsFreq,GraphicsMaxFreq,GraphicsMaxMem,GraphicsMaxRefreshRateHz,GraphicsMaxResoluionVGA,GraphicsMaxResolutionDP,GraphicsMaxResolutionHDMI,GraphicsMaxResolutionIFP,GraphicsOpenCLSupport,GraphicsOpenGLSupport,GraphicsOutput,HaltState,HDAudioTechnology,HighBandwidthMemoryMax,HighPriorityCoreFreq,HighPriorityCores,HyperThreading,IdentityProtectionTechVersion,ImageProcessingUnitVersion,InMemoryAnayticsAccelerator,InstructionReplayTechVersion,InstructionSet,InstructionSetExtensions,IntegratedIDE,IntegratedLAN,IntegratedWifi,IntelControlFlowEnforcementTechnology,IntelCryptoAcceleration,IntelHardwareShield,IntelHighDefinitionAudio,IntelPlatformFWResSupport,IntelQAssistSWAccel,IntelSmartSoundTechnology,IntelSpeedSelectTech,IntelThreadDirector,IntelThunderbolt4,IntelTotalMemoryEncryption,IntelTotalMemoryEncryptionWithMultikey,IntelUPISpeed,IntelWakeonVoice,InTru3D,IOAccelerationTechnology,ItemsIncluded,LicenseRequired,Lithography,LowPriorityCoreFreq,LowPriorityCores,MarketSegment,MatrixStorageTechnology,MaxCPUs,MaxDMILanesCount,MaxEncSizeSupportIntelSGX,MaxMem,MaxMemoryBandwidth,MaxTDP,MaxTurboPower,MemoryMaxSpeedMhz,MemoryProtectionExtensionsVersion,MemoryTypes,MicroprocessorPCIeRevision,MipiSoundwireVersion,ModeBasedExecutionControlVersion,MultiFormatCodecEngines,MyWiFiTech,NetworkInterfaces,NumDisplaysSupported,NumMemoryChannels,NumPCIExpressPorts,NumSATAPorts,NumUSBPorts,OmniPathArchitectureVersion,OnDemandAvailableUpgrade,OnDemandFeatureActivation,OneClickRecovery,OperatingTemperature,OperatingTemperatureMax,OperatingTemperatureMin,OptaneDCPersistentMemoryVersion,OptaneMemorySupport,OSGuardTechVersion,PackageCarrier,PackageSize,PCIExpressConfigs,PCIExpressRevision,PCISupport,PCoreBaseFreq,PCoreTurboFreq,PerfCoreCount,PhysicalAddressExtension,ProcessorBasePower,ProcessorGraphicsModelId,ProcessorNumber,ProductBriefUrl,ProductDescription,ProductGroup,ProtocolStack,QuickAssistTechCPU,QuickAssistTechnology,QuickResumeTechnology,QuickSyncVideo,QuietSystemTechnology,RadioFreqTransceiver,RadioFreqTransceiverFunctions,RapidStorageTech,RemotePlatformErase,ResourceDirectorTechVersion,RunSureTechnologyVersion,SATA6PortCount,ScalableSockets,ScenarioDesignPower,SecureBootTechVersion,SecureKeyTechVersion,ServicingStatus,SmartConnectVersion,SmartIdleTechVersion,SmartResponseTechVersion,SocketsSupported,SoftwareGuardExtensions,SpeedSelectCorePowerInd,SpeedSelectTurboFreqInd,SpeedShiftTechVersion,SpeedStepMaxFreq,SpeedstepTechnology,SstBaseFrequencyOptionVersion,SstPerformanceProfileVersion,StableImagePlatformProgramVersion,StandardManageability,StatusCodeText,SupplyStatus,TBTVersion,TCase,ThermalJunctionRateCode,ThermalMonitoring2Indicator,ThermalSolutionSpecification,ThermalVelocityBoostFreq,ThermalVelocityBoostTempMax,ThermalVelocityBoostVersion,ThreadCount,ThreatDetectTech,TimeCoordinatedComputing,TotalL2Cache,TransactionalSynchronizationExtensionVersion,TransistorCount,TurboBoostMaxTechMaxFreq,TurboBoostMaxTechVersion,TurboBoostTech2MaxFreq,TXT,UART,UltraPathInterconnectLinks,USBConfigurationDescription,USBRevision,VolumeManagementDeviceVersion,VProTechnologyOptions,VranBoostTechVer,VTD,VTI,VTRP,VTX,WarrantyLengthYears,WiMAX,"SourceUrl"
198019,"Intel® Core™ i9-10900X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'19,,,8 GT/s DMI3,,19.25 MB Intel® Smart Cache,,,,3.70 GHz,4.50 GHz,Products formerly Cascade Lake,,,,,10,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,256 GB,94 GB/s,165 W,,,,DDR4-2933,,,,,,,,4,48,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-10900X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,,,,,FCLGA2066,,,,,,Yes,,,,,Launched,,2.0,,94°C,,PCG 2017X,,,,20,,,,,,4.70 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/198019/intel-core-i910900x-xseries-processor-19-25m-cache-3-70-ghz.html"
198012,"Intel® Core™ i9-10920X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'19,,,8 GT/s DMI3,,19.25 MB Intel® Smart Cache,,,,3.50 GHz,4.60 GHz,Products formerly Cascade Lake,,,,,12,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,256 GB,94 GB/s,165 W,,,,DDR4-2933,,,,,,,,4,48,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-10920X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,,,,,FCLGA2066,,,,,,Yes,,,,,Launched,,2.0,,94°C,,PCG 2017X,,,,24,,,,,,4.80 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/198012/intel-core-i910920x-xseries-processor-19-25m-cache-3-50-ghz.html"
198014,"Intel® Core™ i9-10940X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'19,,,8 GT/s DMI3,,19.25 MB Intel® Smart Cache,,,,3.30 GHz,4.60 GHz,Products formerly Cascade Lake,,,,,14,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,256 GB,94 GB/s,165 W,,,,DDR4-2933,,,,,,,,4,48,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-10940X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,,,,,FCLGA2066,,,,,,Yes,,,,,Launched,,2.0,,86°C,,PCG 2017X,,,,28,,,,,,4.80 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/198014/intel-core-i910940x-xseries-processor-19-25m-cache-3-30-ghz.html"
198017,"Intel® Core™ i9-10980XE Extreme Edition Processor",,,,,,,Yes,,,,,,,2,,Q4'19,,,8 GT/s DMI3,,24.75 MB Intel® Smart Cache,,,,3.00 GHz,4.60 GHz,Products formerly Cascade Lake,,,,,18,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,256 GB,94 GB/s,165 W,,,,DDR4-2933,,,,,,,,4,48,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-10980XE,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,,,,,FCLGA2066,,,,,,Yes,,,,,Launched,,2.0,,86°C,,PCG 2017X,,,,36,,,,,,4.80 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/198017/intel-core-i910980xe-extreme-edition-processor-24-75m-cache-3-00-ghz.html"
189122,"Intel® Core™ i7-9800X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,16.5 MB Intel® Smart Cache,,,,3.80 GHz,4.40 GHz,Products formerly Skylake,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i7-9800X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,95°C,,PCG 2017X,,,,16,,,,,,4.50 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189122/intel-core-i79800x-xseries-processor-16-5m-cache-up-to-4-50-ghz.html"
189121,"Intel® Core™ i9-9820X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,16.5 MB Intel® Smart Cache,,,,3.30 GHz,4.10 GHz,Products formerly Skylake,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-9820X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,92°C,,PCG 2017X,,,,20,,,,,,4.20 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189121/intel-core-i99820x-xseries-processor-16-5m-cache-up-to-4-20-ghz.html"
189124,"Intel® Core™ i9-9900X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,19.25 MB Intel® Smart Cache,,,,3.50 GHz,4.40 GHz,Products formerly Skylake,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-9900X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,92°C,,PCG 2017X,,,,20,,,,,,4.50 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189124/intel-core-i99900x-xseries-processor-19-25m-cache-up-to-4-50-ghz.html"
189127,"Intel® Core™ i9-9920X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,19.25 MB Intel® Smart Cache,,,,3.50 GHz,4.40 GHz,Products formerly Skylake,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-9920X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,92°C,,PCG 2017X,,,,24,,,,,,4.50 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189127/intel-core-i99920x-xseries-processor-19-25m-cache-up-to-4-50-ghz.html"
189125,"Intel® Core™ i9-9940X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,19.25 MB Intel® Smart Cache,,,,3.30 GHz,4.40 GHz,Products formerly Skylake,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-9940X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,88°C,,PCG 2017X,,,,28,,,,,,4.50 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189125/intel-core-i99940x-xseries-processor-19-25m-cache-up-to-4-50-ghz.html"
189123,"Intel® Core™ i9-9960X X-series Processor",,,,,,,Yes,,,,,,,2,,Q4'18,,,8 GT/s,0,22 MB Intel® Smart Cache,,,,3.10 GHz,4.40 GHz,Products formerly Skylake,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,No,,,Sunday. December 31. 2023,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Intel® SSE4.1. Intel® SSE4.2. Intel® AVX2. Intel® AVX-512,,,,,,,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,14 nm,,,Desktop,,1,,,128 GB,85 GB/s,165 W,,,,DDR4-2666,,,,,,,,4,44,,,,,,,,,,,Yes,,,,,3.0,,,,,,,,i9-9960X,,,Intel® Core™ X-series Processors,,,,,,,,,,,,,,1S Only,,,,Baseline Servicing,,,,FCLGA2066,,,,,,Yes,,,,,Discontinued,,2.0,,85°C,,PCG 2017X,,,,32,,,,,,4.50 GHz,Yes,,,,,,,,,,Yes,,,Yes,,,"https://ark.intel.com/content/www/us/en/ark/products/189123/intel-core-i99960x-xseries-processor-22m-cache-up-to-4-50-ghz.html"
